OI,link_2020,link_2021,link_2022,link_2023,link_2024,ref
DENW04AL10002KAK,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=746&height=858&bbox=416489.227%2C5725660.369%2C416493.343%2C5725665.1&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=746&height=858&bbox=416489.227%2C5725660.369%2C416493.343%2C5725665.1&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=746&height=858&bbox=416489.227%2C5725660.369%2C416493.343%2C5725665.1&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=746&height=858&bbox=416489.227%2C5725660.369%2C416493.343%2C5725665.1&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=746&height=858&bbox=416489.227%2C5725660.369%2C416493.343%2C5725665.1&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.8477439880371094e-06
DENW05AL10006hqn,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=837&height=765&bbox=373807.953%2C5710793.828%2C373827.238%2C5710811.447&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=837&height=765&bbox=373807.953%2C5710793.828%2C373827.238%2C5710811.447&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=837&height=765&bbox=373807.953%2C5710793.828%2C373827.238%2C5710811.447&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=837&height=765&bbox=373807.953%2C5710793.828%2C373827.238%2C5710811.447&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=837&height=765&bbox=373807.953%2C5710793.828%2C373827.238%2C5710811.447&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,5.125999450683594e-06
DENW12AL00005Cx1,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=829&height=772&bbox=407854.621%2C5716387.298%2C407875.717%2C5716406.949&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=829&height=772&bbox=407854.621%2C5716387.298%2C407875.717%2C5716406.949&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=829&height=772&bbox=407854.621%2C5716387.298%2C407875.717%2C5716406.949&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=829&height=772&bbox=407854.621%2C5716387.298%2C407875.717%2C5716406.949&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=829&height=772&bbox=407854.621%2C5716387.298%2C407875.717%2C5716406.949&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,8.404254913330078e-06
DENW02AL100077Ur,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=675&height=948&bbox=388043.48%2C5709743.763%2C388050.202%2C5709753.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=675&height=948&bbox=388043.48%2C5709743.763%2C388050.202%2C5709753.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=675&height=948&bbox=388043.48%2C5709743.763%2C388050.202%2C5709753.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=675&height=948&bbox=388043.48%2C5709743.763%2C388050.202%2C5709753.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=675&height=948&bbox=388043.48%2C5709743.763%2C388050.202%2C5709753.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.2010335922241211e-05
DENW06AL0004Dh2H,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1004&height=637&bbox=387285.42%2C5690934.579%2C387297.424%2C5690942.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1004&height=637&bbox=387285.42%2C5690934.579%2C387297.424%2C5690942.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=1004&height=637&bbox=387285.42%2C5690934.579%2C387297.424%2C5690942.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1004&height=637&bbox=387285.42%2C5690934.579%2C387297.424%2C5690942.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1004&height=637&bbox=387285.42%2C5690934.579%2C387297.424%2C5690942.193&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.2129545211791992e-05
DENW22AL900003Y9,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=804&height=796&bbox=356621.106%2C5692567.009%2C356631.387%2C5692577.192&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=804&height=796&bbox=356621.106%2C5692567.009%2C356631.387%2C5692577.192&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=804&height=796&bbox=356621.106%2C5692567.009%2C356631.387%2C5692577.192&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=804&height=796&bbox=356621.106%2C5692567.009%2C356631.387%2C5692577.192&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=804&height=796&bbox=356621.106%2C5692567.009%2C356631.387%2C5692577.192&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.5735626220703125e-05
DENW02AL100047OO,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1037&height=617&bbox=387821.859%2C5704771.329%2C387828.519%2C5704775.294&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1037&height=617&bbox=387821.859%2C5704771.329%2C387828.519%2C5704775.294&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=1037&height=617&bbox=387821.859%2C5704771.329%2C387828.519%2C5704775.294&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1037&height=617&bbox=387821.859%2C5704771.329%2C387828.519%2C5704775.294&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1037&height=617&bbox=387821.859%2C5704771.329%2C387828.519%2C5704775.294&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.5974044799804688e-05
DENW12AL0000l3IC,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=952&height=672&bbox=405310.711%2C5725401.909%2C405323.57%2C5725410.984&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=952&height=672&bbox=405310.711%2C5725401.909%2C405323.57%2C5725410.984&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=952&height=672&bbox=405310.711%2C5725401.909%2C405323.57%2C5725410.984&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=952&height=672&bbox=405310.711%2C5725401.909%2C405323.57%2C5725410.984&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=952&height=672&bbox=405310.711%2C5725401.909%2C405323.57%2C5725410.984&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,1.7762184143066406e-05
DENW06AL0003kV2g,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=877&height=730&bbox=387388.813%2C5680735.091%2C387405.699%2C5680749.144&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=877&height=730&bbox=387388.813%2C5680735.091%2C387405.699%2C5680749.144&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=877&height=730&bbox=387388.813%2C5680735.091%2C387405.699%2C5680749.144&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=877&height=730&bbox=387388.813%2C5680735.091%2C387405.699%2C5680749.144&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=877&height=730&bbox=387388.813%2C5680735.091%2C387405.699%2C5680749.144&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.1517276763916016e-05
DENW52AL00gbDogn,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=783&height=817&bbox=367448.018%2C5724788.963%2C367453.377%2C5724794.552&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=783&height=817&bbox=367448.018%2C5724788.963%2C367453.377%2C5724794.552&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=783&height=817&bbox=367448.018%2C5724788.963%2C367453.377%2C5724794.552&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=783&height=817&bbox=367448.018%2C5724788.963%2C367453.377%2C5724794.552&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=783&height=817&bbox=367448.018%2C5724788.963%2C367453.377%2C5724794.552&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.276897430419922e-05
