oi,year_1,year_2,label,hat_solar,dach_erkennbar,haus_im_bau,dach_gereinigt,link_1,link_2,geom
DENW04AL1000CZov,2021,2023,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1010&height=633&bbox=420794.196%2C5720470.938%2C420810.358%2C5720481.071&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1010&height=633&bbox=420794.196%2C5720470.938%2C420810.358%2C5720481.071&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420794.196 5720476.106, 420794.54 5720477.764, 420794.688 5720477.76, 420795.825 5720481.071, 420810.358 5720476.046, 420809.625 5720473.387, 420809.913 5720473.303, 420809.144 5720470.938, 420800.881 5720473.795, 420794.196 5720476.106))"
DENW04AL1000CZtm,2022,2024,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=756&height=846&bbox=424060.04%2C5720820.254%2C424080.163%2C5720842.778&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=756&height=846&bbox=424060.04%2C5720820.254%2C424080.163%2C5720842.778&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((424060.04 5720836.622, 424071.101 5720842.778, 424080.163 5720826.39, 424069.166 5720820.254, 424060.04 5720836.622))"
DENW04AL1000CZtr,2021,2023,0,false,true,false,true,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=836&height=765&bbox=420710.834%2C5721105.352%2C420717.524%2C5721111.474&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=836&height=765&bbox=420710.834%2C5721105.352%2C420717.524%2C5721111.474&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420710.834 5721107.672, 420715.729 5721111.474, 420717.524 5721109.147, 420712.637 5721105.352, 420710.834 5721107.672))"
DENW04AL1000CZxm,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=837&height=765&bbox=420416.407%2C5723411.129%2C420422.849%2C5723417.014&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=837&height=765&bbox=420416.407%2C5723411.129%2C420422.849%2C5723417.014&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420416.407 5723414.732, 420418.166 5723417.014, 420420.544 5723415.187, 420422.849 5723413.415, 420422.483 5723412.939, 420421.092 5723411.129, 420416.407 5723414.732))"
DENW04AL1000CZz5,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1122&height=571&bbox=420981.473%2C5723470.709%2C420987.184%2C5723473.614&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1122&height=571&bbox=420981.473%2C5723470.709%2C420987.184%2C5723473.614&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420981.473 5723470.734, 420981.484 5723473.614, 420987.184 5723473.572, 420987.172 5723470.709, 420981.473 5723470.734))"
DENW04AL1000Ca0E,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=830&height=771&bbox=421282.228%2C5722613.105%2C421288.349%2C5722618.796&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=830&height=771&bbox=421282.228%2C5722613.105%2C421288.349%2C5722618.796&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((421282.228 5722616.328, 421284.197 5722618.796, 421288.349 5722615.628, 421286.372 5722613.105, 421282.228 5722616.328))"
DENW04AL1000Ca1e,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=927&height=690&bbox=421408.025%2C5722802.821%2C421423.932%2C5722814.659&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=927&height=690&bbox=421408.025%2C5722802.821%2C421423.932%2C5722814.659&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((421408.025 5722809.237, 421410.671 5722814.659, 421423.932 5722808.219, 421421.305 5722802.821, 421408.025 5722809.237))"
DENW04AL1000Ca1s,2021,2023,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=783&height=817&bbox=420079.966%2C5723145.843%2C420087.102%2C5723153.291&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=783&height=817&bbox=420079.966%2C5723145.843%2C420087.102%2C5723153.291&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420079.966 5723150.72, 420082.876 5723153.291, 420087.102 5723148.45, 420084.242 5723145.843, 420079.966 5723150.72))"
DENW04AL1000Ca3V,2021,2024,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=872&height=734&bbox=420354.082%2C5721140.741%2C420361.903%2C5721147.331&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=872&height=734&bbox=420354.082%2C5721140.741%2C420361.903%2C5721147.331&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420354.082 5721142.689, 420355.696 5721143.599, 420355.252 5721144.367, 420358.471 5721146.197, 420360.406 5721147.331, 420361.903 5721144.731, 420356.719 5721141.682, 420355.12 5721140.741, 420354.082 5721142.689))"
DENW04AL1000Ca4M,2020,2023,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1141&height=561&bbox=420529.719%2C5720558.82%2C420538.81%2C5720563.292&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1141&height=561&bbox=420529.719%2C5720558.82%2C420538.81%2C5720563.292&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420529.719 5720563.119, 420532.087 5720563.163, 420538.716 5720563.292, 420538.81 5720558.905, 420535.218 5720558.82, 420535.188 5720560.22, 420529.774 5720560.105, 420529.719 5720563.119))"
