oi,year_1,year_2,label,hat_solar,dach_erkennbar,haus_im_bau,dach_gereinigt,link_1,link_2,klasse,geom,klasse_1
DENW04AL1000CZtr,2023,2024,0,false,true,false,true,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=836&height=765&bbox=420710.834%2C5721105.352%2C420717.524%2C5721111.474&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=836&height=765&bbox=420710.834%2C5721105.352%2C420717.524%2C5721111.474&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,3.1711459159851074,"POLYGON ((420710.834 5721107.672, 420715.729 5721111.474, 420717.524 5721109.147, 420712.637 5721105.352, 420710.834 5721107.672))",3.1711459159851074
DENW04AL1000Ca9H,2020,2023,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=802&height=798&bbox=420909.056%2C5723127.691%2C420919.631%2C5723138.207&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=802&height=798&bbox=420909.056%2C5723127.691%2C420919.631%2C5723138.207&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,2.5029208660125732,"POLYGON ((420909.056 5723131.996, 420909.814 5723132.913, 420909.962 5723132.811, 420913.664 5723138.207, 420915.503 5723136.948, 420915.464 5723136.891, 420919.388 5723134.206, 420919.427 5723134.263, 420919.631 5723134.123, 420915.256 5723127.691, 420909.056 5723131.996))",2.5029208660125732
DENW04AL1000CaAa,2021,2022,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=844&height=759&bbox=420220.126%2C5723332.851%2C420229.949%2C5723341.686&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=844&height=759&bbox=420220.126%2C5723332.851%2C420229.949%2C5723341.686&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,0.4999886862897256,"POLYGON ((420220.126 5723337.204, 420222.854 5723341.686, 420229.949 5723337.358, 420227.209 5723332.851, 420220.126 5723337.204))",0.4999886862897256
DENW04AL1000Gvy3,2020,2023,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=706&height=907&bbox=420359.046%2C5724850.453%2C420374.585%2C5724870.433&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=706&height=907&bbox=420359.046%2C5724850.453%2C420374.585%2C5724870.433&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,0.9921373128890991,"POLYGON ((420359.046 5724853.888, 420364.349 5724870.433, 420374.585 5724867.086, 420374.473 5724866.739, 420369.287 5724850.453, 420367.25 5724851.128, 420359.046 5724853.888))",0.9921373128890991
DENW04AL1000Gwxj,2020,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=806&height=794&bbox=420365.789%2C5724871.3%2C420378.423%2C5724883.737&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=806&height=794&bbox=420365.789%2C5724871.3%2C420378.423%2C5724883.737&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,0.3765006735920906,"POLYGON ((420365.789 5724875.074, 420368.518 5724883.737, 420378.423 5724880.32, 420376.268 5724872.91, 420375.703 5724871.3, 420370.38 5724873.016, 420370.602 5724873.582, 420365.789 5724875.074))",0.3765006735920906
DENW04AL1000GwyV,2020,2023,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1032&height=620&bbox=420615.482%2C5724882.083%2C420626.82%2C5724888.902&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1032&height=620&bbox=420615.482%2C5724882.083%2C420626.82%2C5724888.902&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,0.4722985774278641,"POLYGON ((420615.482 5724886.58, 420625.378 5724888.831, 420625.691 5724888.902, 420626.82 5724883.151, 420622.498 5724882.083, 420618.678 5724883.307, 420618.479 5724884.22, 420616.041 5724883.678, 420615.482 5724886.58))",0.4722985774278641
DENW04AL1000Jbae,2020,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=765&height=836&bbox=421588.786%2C5724973.363%2C421595.853%2C5724981.084&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=765&height=836&bbox=421588.786%2C5724973.363%2C421595.853%2C5724981.084&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,0.4999886862897256,"POLYGON ((421588.786 5724979.253, 421591.031 5724981.084, 421595.853 5724975.197, 421593.61 5724973.363, 421588.786 5724979.253))",0.4999886862897256
DENW04AL1000Jbph,2020,2022,0,false,true,false,true,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=549&height=1166&bbox=422528.51%2C5724903.396%2C422533.758%2C5724914.553&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=549&height=1166&bbox=422528.51%2C5724903.396%2C422533.758%2C5724914.553&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,0.41176873445510864,"POLYGON ((422528.51 5724913.903, 422530.744 5724914.553, 422533.678 5724904.33, 422533.758 5724904.049, 422531.407 5724903.396, 422528.51 5724913.903))",0.41176873445510864
DENW04AL1000JcJE,2020,2021,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=875&height=731&bbox=423649.404%2C5724908.7%2C423659.531%2C5724917.159&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=875&height=731&bbox=423649.404%2C5724908.7%2C423659.531%2C5724917.159&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,0.4328840896487236,"POLYGON ((423649.404 5724911.265, 423651.156 5724917.159, 423659.288 5724914.667, 423659.531 5724914.602, 423657.776 5724908.7, 423649.404 5724911.265))",0.4328840896487236
DENW04AL1000JcKZ,2021,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1004&height=637&bbox=423518.283%2C5724541.641%2C423537.954%2C5724554.125&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1004&height=637&bbox=423518.283%2C5724541.641%2C423537.954%2C5724554.125&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,0.4999886862897256,"POLYGON ((423518.283 5724546.184, 423519.931 5724552.575, 423520.33 5724554.125, 423537.954 5724549.582, 423535.907 5724541.641, 423518.283 5724546.184))",0.4999886862897256
