oi,year_1,year_2,label,hat_solar,dach_erkennbar,haus_im_bau,dach_gereinigt,link_1,link_2,geom
DENW06AL0004pb4w,2021,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=762&height=840&bbox=374739.181%2C5690551.627%2C374744.457%2C5690557.438&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=762&height=840&bbox=374739.181%2C5690551.627%2C374744.457%2C5690557.438&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((374739.181 5690555.78, 374742.226 5690557.438, 374744.457 5690553.296, 374741.467 5690551.627, 374739.181 5690555.78))"
DENW06AL0004pb4w,2020,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=762&height=840&bbox=374739.181%2C5690551.627%2C374744.457%2C5690557.438&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=762&height=840&bbox=374739.181%2C5690551.627%2C374744.457%2C5690557.438&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((374739.181 5690555.78, 374742.226 5690557.438, 374744.457 5690553.296, 374741.467 5690551.627, 374739.181 5690555.78))"
DENW22AL70000JOW,2021,2023,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((358317.296 5701584.228, 358323.664 5701584.704, 358324.599 5701572.207, 358318.315 5701571.749, 358317.296 5701584.228))"
DENW22AL70000JOW,2020,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((358317.296 5701584.228, 358323.664 5701584.704, 358324.599 5701572.207, 358318.315 5701571.749, 358317.296 5701584.228))"
DENW22AL70000JOW,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=601&height=1066&bbox=358317.296%2C5701571.749%2C358324.599%2C5701584.704&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((358317.296 5701584.228, 358323.664 5701584.704, 358324.599 5701572.207, 358318.315 5701571.749, 358317.296 5701584.228))"
DENW01AL10008yJp,2020,2022,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1027&height=623&bbox=383112.4%2C5704916.138%2C383133.961%2C5704929.219&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=1027&height=623&bbox=383112.4%2C5704916.138%2C383133.961%2C5704929.219&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,"POLYGON ((383112.4 5704917.362, 383113.185 5704929.219, 383133.961 5704927.995, 383133.264 5704916.138, 383112.4 5704917.362))"
DENW34AL0000l5rd,2020,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=813&height=787&bbox=330076.446%2C5707878.9%2C330079.797%2C5707882.143&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=813&height=787&bbox=330076.446%2C5707878.9%2C330079.797%2C5707882.143&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((330076.446 5707881.884, 330079.539 5707882.143, 330079.797 5707879.157, 330076.682 5707878.9, 330076.446 5707881.884))"
DENW34AL0000l5rd,2021,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=813&height=787&bbox=330076.446%2C5707878.9%2C330079.797%2C5707882.143&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=813&height=787&bbox=330076.446%2C5707878.9%2C330079.797%2C5707882.143&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((330076.446 5707881.884, 330079.539 5707882.143, 330079.797 5707879.157, 330076.682 5707878.9, 330076.446 5707881.884))"
DENW34AL0000KsnK,2021,2022,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,"POLYGON ((330650.766 5714773.382, 330659.267 5714770.442, 330659.19 5714770.221, 330659.791 5714768.897, 330659.304 5714767.527, 330658.031 5714766.961, 330656.942 5714763.874, 330646.552 5714767.537, 330648.836 5714774.049, 330650.766 5714773.382))"
DENW52AL00bfAtEk,2020,2022,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=622&height=1028&bbox=375879.244%2C5715179.482%2C375889.358%2C5715196.188&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=622&height=1028&bbox=375879.244%2C5715179.482%2C375889.358%2C5715196.188&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,"POLYGON ((375879.244 5715179.745, 375879.791 5715196.188, 375883.239 5715196.066, 375889.358 5715195.925, 375889.065 5715187.076, 375888.947 5715183.498, 375887.238 5715183.558, 375887.11 5715179.482, 375879.244 5715179.745))"
